Year,Team,Player,Salary,Percent_team_salary
1993.0,CLE,Brad Daugherty,3541000.0,0.14933996879085656
1993.0,CLE,Mark Price,2850000.0,0.12019737674497069
1993.0,CLE,Larry Nance,2840000.0,0.11977563156340938
1993.0,CLE,Gerald Wilkins,2278000.0,0.09607355235966429
1993.0,CLE,John Battle,1120000.0,0.04723546033486568
1993.0,CLE,Tyrone Hill,1075000.0,0.04533760701783982
1993.0,CLE,Terrell Brandon,840000.0,0.03542659525114925
1993.0,CLE,Chris Mills,650000.0,0.027413436801484545
1993.0,CLE,Gerald Madkins,475000.0,0.020032896124161783
1993.0,CLE,Bobby Phills,313000.0,0.01320062418286871
1993.0,CLE,Jay Guidinger,250000.0,0.010543629539032517
1993.0,CLE,Sedric Toney,150000.0,0.00632617772341951
1994.0,CLE,Danny Ferry,4042000.0,0.14381270903010032
1994.0,CLE,Brad Daugherty,3800000.0,0.13520244787589838
1994.0,CLE,John Williams,3786000.0,0.13470433359425033
1994.0,CLE,Mark Price,3200000.0,0.11385469294812496
1994.0,CLE,Tyrone Hill,2820000.0,0.10033444816053512
1994.0,CLE,Gerald Wilkins,2478000.0,0.08816622785170426
1994.0,CLE,Michael Cage,1635000.0,0.058172632178182596
